file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/src/01-command/src/java/br/ufmg/engsoft/reprova/model/CoarseGrainedCourse.java,br.ufmg.engsoft.reprova.model.CoarseGrainedCourse,"CoarseGrainedCourse/4[int,br.ufmg.engsoft.reprova.model.Course.Reference,java.lang.String,float]",true,9,1,4,4,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/src/01-command/src/java/br/ufmg/engsoft/reprova/model/CoarseGrainedCourse.java,br.ufmg.engsoft.reprova.model.CoarseGrainedCourse,getScore/0,false,15,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/src/01-command/auth-microservice/src/main/java/br/ufmg/engsoft/SecurityConfig.java,br.ufmg.engsoft.SecurityConfig,configure/1[br.ufmg.engsoft.HttpSecurity],false,20,1,0,0,0,1,7,5,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,0,false
/src/01-command/src/java/br/ufmg/engsoft/reprova/database/Mongo.java,br.ufmg.engsoft.reprova.database.Mongo,Mongo/1[java.lang.String],true,38,0,3,3,0,1,3,4,0,0,1,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0,9,1,1,true
/src/01-command/src/java/br/ufmg/engsoft/reprova/database/Mongo.java,br.ufmg.engsoft.reprova.database.Mongo,getCollection/1[java.lang.String],false,50,2,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
/src/01-command/auth-microservice/src/main/java/br/ufmg/engsoft/controllers/AuthenticationController.java,br.ufmg.engsoft.controllers.AuthenticationController,"isTeacher/1[java.util.Map<java.lang.String,java.lang.String>]",false,27,3,1,0,1,1,2,3,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,false
/src/01-command/auth-microservice/src/main/java/br/ufmg/engsoft/controllers/AuthenticationController.java,br.ufmg.engsoft.controllers.AuthenticationController,AuthenticationController/0,true,17,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/src/01-command/auth-microservice/src/main/java/br/ufmg/engsoft/controllers/AuthenticationController.java,br.ufmg.engsoft.controllers.AuthenticationController,"login/1[java.util.Map<java.lang.String,java.lang.String>]",false,22,3,1,0,1,1,2,3,1,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,false
/src/01-command/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course$Reference,Reference/1[int],true,23,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,false
/src/01-command/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course$Reference,(initializer 1),false,31,1,1,0,1,2,2,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,8,0,false
