file,class,method,variable,usage
/src/02-questions/src/java/br/ufmg/engsoft/reprova/model/CoarseGrainedCourse.java,br.ufmg.engsoft.reprova.model.CoarseGrainedCourse,"CoarseGrainedCourse/4[int,br.ufmg.engsoft.reprova.model.Course.Reference,java.lang.String,float]",score,2
/src/02-questions/src/java/br/ufmg/engsoft/reprova/model/CoarseGrainedCourse.java,br.ufmg.engsoft.reprova.model.CoarseGrainedCourse,"CoarseGrainedCourse/4[int,br.ufmg.engsoft.reprova.model.Course.Reference,java.lang.String,float]",ref,1
/src/02-questions/src/java/br/ufmg/engsoft/reprova/model/CoarseGrainedCourse.java,br.ufmg.engsoft.reprova.model.CoarseGrainedCourse,"CoarseGrainedCourse/4[int,br.ufmg.engsoft.reprova.model.Course.Reference,java.lang.String,float]",courseName,1
/src/02-questions/src/java/br/ufmg/engsoft/reprova/model/CoarseGrainedCourse.java,br.ufmg.engsoft.reprova.model.CoarseGrainedCourse,"CoarseGrainedCourse/4[int,br.ufmg.engsoft.reprova.model.Course.Reference,java.lang.String,float]",year,1
/src/02-questions/auth-microservice/src/main/java/br/ufmg/engsoft/SecurityConfig.java,br.ufmg.engsoft.SecurityConfig,configure/1[br.ufmg.engsoft.HttpSecurity],httpSecurity,3
/src/02-questions/src/java/br/ufmg/engsoft/reprova/database/Mongo.java,br.ufmg.engsoft.reprova.database.Mongo,Mongo/1[java.lang.String],db,3
/src/02-questions/src/java/br/ufmg/engsoft/reprova/database/Mongo.java,br.ufmg.engsoft.reprova.database.Mongo,getCollection/1[java.lang.String],name,1
/src/02-questions/auth-microservice/src/main/java/br/ufmg/engsoft/controllers/AuthenticationController.java,br.ufmg.engsoft.controllers.AuthenticationController,"isTeacher/1[java.util.Map<java.lang.String,java.lang.String>]",input,1
/src/02-questions/auth-microservice/src/main/java/br/ufmg/engsoft/controllers/AuthenticationController.java,br.ufmg.engsoft.controllers.AuthenticationController,"login/1[java.util.Map<java.lang.String,java.lang.String>]",input,2
/src/02-questions/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course$Reference,Reference/1[int],i,1
/src/02-questions/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course$Reference,(initializer 1),ref,2
/src/02-questions/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course$Reference,fromInt/1[int],ref,2
/src/02-questions/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course$Reference,fromInt/1[int],i,1
/src/02-questions/src/java/br/ufmg/engsoft/reprova/routes/command/CreateOrUpdateQuestionCommand.java,br.ufmg.engsoft.reprova.routes.command.CreateOrUpdateQuestionCommand,authorised/1[java.lang.String],token,2
/src/02-questions/src/java/br/ufmg/engsoft/reprova/routes/command/CreateOrUpdateQuestionCommand.java,br.ufmg.engsoft.reprova.routes.command.CreateOrUpdateQuestionCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",request,2
/src/02-questions/src/java/br/ufmg/engsoft/reprova/routes/command/CreateOrUpdateQuestionCommand.java,br.ufmg.engsoft.reprova.routes.command.CreateOrUpdateQuestionCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",question,3
/src/02-questions/src/java/br/ufmg/engsoft/reprova/routes/command/CreateOrUpdateQuestionCommand.java,br.ufmg.engsoft.reprova.routes.command.CreateOrUpdateQuestionCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",e,1
/src/02-questions/src/java/br/ufmg/engsoft/reprova/routes/command/CreateOrUpdateQuestionCommand.java,br.ufmg.engsoft.reprova.routes.command.CreateOrUpdateQuestionCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",response,4
/src/02-questions/src/java/br/ufmg/engsoft/reprova/routes/command/CreateOrUpdateQuestionCommand.java,br.ufmg.engsoft.reprova.routes.command.CreateOrUpdateQuestionCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",success,1
/src/02-questions/src/java/br/ufmg/engsoft/reprova/routes/command/CreateOrUpdateQuestionCommand.java,br.ufmg.engsoft.reprova.routes.command.CreateOrUpdateQuestionCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",body,3
/src/02-questions/src/java/br/ufmg/engsoft/reprova/routes/command/CreateOrUpdateQuestionCommand.java,br.ufmg.engsoft.reprova.routes.command.CreateOrUpdateQuestionCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",token,2
/src/02-questions/src/java/br/ufmg/engsoft/reprova/routes/command/CreateOrUpdateQuestionCommand.java,br.ufmg.engsoft.reprova.routes.command.CreateOrUpdateQuestionCommand,"CreateOrUpdateQuestionCommand/2[br.ufmg.engsoft.reprova.database.QuestionsDAO,br.ufmg.engsoft.reprova.mime.json.Json]",json,2
/src/02-questions/src/java/br/ufmg/engsoft/reprova/routes/command/CreateOrUpdateQuestionCommand.java,br.ufmg.engsoft.reprova.routes.command.CreateOrUpdateQuestionCommand,"CreateOrUpdateQuestionCommand/2[br.ufmg.engsoft.reprova.database.QuestionsDAO,br.ufmg.engsoft.reprova.mime.json.Json]",questionsDAO,2
/src/02-questions/auth-microservice/src/main/java/br/ufmg/engsoft/services/AuthService.java,br.ufmg.engsoft.services.AuthService,isTeacher/1[java.lang.String],response,2
/src/02-questions/auth-microservice/src/main/java/br/ufmg/engsoft/services/AuthService.java,br.ufmg.engsoft.services.AuthService,isTeacher/1[java.lang.String],userId,1
/src/02-questions/auth-microservice/src/main/java/br/ufmg/engsoft/services/AuthService.java,br.ufmg.engsoft.services.AuthService,"authenticate/2[java.lang.String,java.lang.String]",password,1
/src/02-questions/auth-microservice/src/main/java/br/ufmg/engsoft/services/AuthService.java,br.ufmg.engsoft.services.AuthService,"authenticate/2[java.lang.String,java.lang.String]",response,2
/src/02-questions/auth-microservice/src/main/java/br/ufmg/engsoft/services/AuthService.java,br.ufmg.engsoft.services.AuthService,"authenticate/2[java.lang.String,java.lang.String]",users,2
/src/02-questions/auth-microservice/src/main/java/br/ufmg/engsoft/services/AuthService.java,br.ufmg.engsoft.services.AuthService,"authenticate/2[java.lang.String,java.lang.String]",username,1
/src/02-questions/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json,"parse/2[java.lang.String,java.lang.Class<T>]",json,1
/src/02-questions/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json,"parse/2[java.lang.String,java.lang.Class<T>]",cls,1
/src/02-questions/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json,render/1[T],obj,1
/src/02-questions/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json,Json/0,parserBuilder,2
/src/02-questions/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json$QuestionBuilderDeserializer,"deserialize/3[br.ufmg.engsoft.reprova.model.JsonElement,java.lang.reflect.Type,br.ufmg.engsoft.reprova.mime.json.JsonDeserializationContext]",typeOfT,0
/src/02-questions/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json$QuestionBuilderDeserializer,"deserialize/3[br.ufmg.engsoft.reprova.model.JsonElement,java.lang.reflect.Type,br.ufmg.engsoft.reprova.mime.json.JsonDeserializationContext]",questionBuilder,2
/src/02-questions/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json$QuestionBuilderDeserializer,"deserialize/3[br.ufmg.engsoft.reprova.model.JsonElement,java.lang.reflect.Type,br.ufmg.engsoft.reprova.mime.json.JsonDeserializationContext]",parserBuilder,2
/src/02-questions/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json$QuestionBuilderDeserializer,"deserialize/3[br.ufmg.engsoft.reprova.model.JsonElement,java.lang.reflect.Type,br.ufmg.engsoft.reprova.mime.json.JsonDeserializationContext]",context,0
