file,class,method,variable,usage
/src/2019-01/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,authorised/1[java.lang.String],token,2
/src/2019-01/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/2[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response]",logger,1
/src/2019-01/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/4[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,java.lang.String,boolean]",logger,4
/src/2019-01/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/4[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,java.lang.String,boolean]",invalid,1
/src/2019-01/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/4[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,java.lang.String,boolean]",json,1
/src/2019-01/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/4[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,java.lang.String,boolean]",questionsDAO,1
/src/2019-01/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/4[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,java.lang.String,boolean]",token,1
/src/2019-01/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/4[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,java.lang.String,boolean]",unauthorised,1
/src/2019-01/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/3[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,boolean]",logger,2
/src/2019-01/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/3[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,boolean]",json,1
/src/2019-01/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/3[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,boolean]",questionsDAO,1
