file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/src/2020-02/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json$StudentDeserializer,innerclass,5,5,0,5,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,9,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/CoarseGrainedCourse.java,br.ufmg.engsoft.reprova.model.CoarseGrainedCourse,class,2,7,5,2,2,2,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,16,1,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/Configuration.java,br.ufmg.engsoft.reprova.Configuration$ScoreFileType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/Mongo.java,br.ufmg.engsoft.reprova.database.Mongo,class,5,16,11,5,2,1,0,6,0,0.33333334,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,2,0,0,3,0,3,0,1,12,1,0,0,0,0,3,0,3,1,3,0,0,0,0,27,1,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/FineGrainedCourse.java,br.ufmg.engsoft.reprova.model.FineGrainedCourse,class,3,7,4,3,3,2,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,14,1,1,0,0,0,0,1,3,1,2,1,0,0,0,19,1,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course$Reference,enum,1,1,0,1,5,1,0,4,0,0.25,0.0,0.0,2,1,1,0,0,1,3,0,0,0,2,1,1,0,1,0,2,0,2,14,1,1,1,0,0,0,2,3,0,3,1,0,0,0,25,1,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/variability/CoarseGrainedCourseDAOFactory.java,br.ufmg.engsoft.reprova.database.variability.CoarseGrainedCourseDAOFactory,class,5,5,0,5,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/Configuration.java,br.ufmg.engsoft.reprova.Configuration$Granularity,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json,class,6,20,14,6,3,1,0,4,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,42,2,0,0,0,0,0,0,2,0,2,0,0,3,0,35,1,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/CourseDAO.java,br.ufmg.engsoft.reprova.database.CourseDAO,class,8,16,8,8,6,1,2,7,6,0.8333333,0.0,0.0,4,0,4,0,0,0,4,3,0,0,3,1,0,0,3,0,3,0,0,15,0,0,2,0,0,6,0,3,0,3,1,0,0,0,30,1025,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json$QuestionBuilderDeserializer,innerclass,7,7,0,7,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,2,0,3,0,3,1,0,0,0,16,9,0
/src/2020-02/src/tests/br/ufmg/engsoft/reprova/tests/model/QuestionTest.java,br.ufmg.engsoft.reprova.tests.model.QuestionTest,class,2,2,0,2,4,1,0,4,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,6,0,0,0,0,1,0,0,4,13,1,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Student.java,br.ufmg.engsoft.reprova.model.Student,class,1,14,13,1,7,1,0,4,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0,2,0,3,17,4,0,4,0,0,0,1,3,0,3,1,0,0,0,14,1,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/ScoreFileFactory.java,br.ufmg.engsoft.reprova.model.ScoreFileFactory,class,2,6,4,2,2,1,2,0,1,0.0,0.0,0.0,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1025,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/Setup.java,br.ufmg.engsoft.reprova.routes.Setup,class,7,9,2,7,5,1,0,8,0,0.0,0.0,0.0,2,1,1,0,1,0,2,0,0,0,2,2,0,0,2,0,1,0,2,21,0,0,3,0,0,9,0,4,1,4,1,0,0,0,40,1,4
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,innerclass,3,3,0,3,14,1,0,1,9,0.7142858,0.2857143,1.0,7,0,7,0,0,0,7,0,0,0,6,0,0,0,6,0,0,0,0,49,7,1,4,0,0,5,0,8,0,6,3,0,0,0,23,9,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/variability/CsvScoreFactory.java,br.ufmg.engsoft.reprova.model.variability.CsvScoreFactory,class,3,3,0,3,2,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,1,0,1,1,0,0,0,14,1,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,class,13,18,5,13,20,1,0,29,0,0.38888887,0.93333334,1.0,6,0,5,0,1,0,6,0,0,0,3,1,0,0,3,0,3,0,2,61,6,0,10,1,0,24,0,14,7,14,2,0,0,0,87,1,8
/src/2020-02/src/java/br/ufmg/engsoft/reprova/Reprova.java,br.ufmg.engsoft.reprova.Reprova,class,6,6,0,6,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,1,0,4,0,4,0,0,0,0,14,1,0
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/variability/CoarseGrainedCourseFactory.java,br.ufmg.engsoft.reprova.model.variability.CoarseGrainedCourseFactory,class,5,7,2,5,4,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,3,1,0,0,0,0,2,3,1,2,1,0,0,0,15,1,0
/src/2020-02/src/tests/br/ufmg/engsoft/reprova/tests/mime/json/JsonTest.java,br.ufmg.engsoft.reprova.tests.mime.json.JsonTest,class,13,13,0,13,8,1,0,26,28,0.0,0.0,0.0,8,3,3,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,16,64,3,0,0,0,0,21,17,34,0,38,0,0,0,4,46,1,0
/src/2020-02/src/tests/br/ufmg/engsoft/reprova/tests/model/CourseTest.java,br.ufmg.engsoft.reprova.tests.model.CourseTest,class,7,7,0,7,4,1,0,8,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,1,8,12,14,2,14,0,0,0,2,19,1,0
