file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/model/CourseXMLTest.java,br.ufmg.engsoft.reprova.tests.model.CourseXMLTest,configureXStream/0,false,24,6,0,0,0,1,3,7,0,1,0,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,7,2,0,false
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/model/CourseXMLTest.java,br.ufmg.engsoft.reprova.tests.model.CourseXMLTest,testCreateWithStudents/0,false,68,5,4,0,4,1,6,13,0,10,0,6,0,0,0,0,0,0,8,3,10,1,0,0,0,0,25,0,0,false
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/model/CourseXMLTest.java,br.ufmg.engsoft.reprova.tests.model.CourseXMLTest,testCreateWithoutStudentsFromBufferedReader/0,false,33,4,1,0,1,1,5,9,0,4,0,5,1,1,0,0,0,0,7,0,4,1,0,0,0,0,25,0,0,false
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/model/CourseXMLTest.java,br.ufmg.engsoft.reprova.tests.model.CourseXMLTest,testCreateWithoutStudents/0,false,54,3,1,0,1,1,3,6,0,3,0,3,1,1,0,0,0,0,5,0,3,1,0,0,0,0,16,0,0,false
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/model/CourseXMLTest.java,br.ufmg.engsoft.reprova.tests.model.CourseXMLTest,createCourse/0,false,89,3,5,2,3,1,3,9,1,6,0,3,0,0,0,0,0,0,1,2,6,0,0,0,0,0,9,2,0,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/model/CoarseGrainedCourse.java,br.ufmg.engsoft.reprova.model.CoarseGrainedCourse,"CoarseGrainedCourse/4[int,br.ufmg.engsoft.reprova.model.Course.Reference,java.lang.String,float]",true,9,1,4,4,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/model/CoarseGrainedCourse.java,br.ufmg.engsoft.reprova.model.CoarseGrainedCourse,getScore/0,false,15,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/src/2022-02/auth-microservice/src/main/java/br/ufmg/engsoft/SecurityConfig.java,br.ufmg.engsoft.SecurityConfig,configure/1[br.ufmg.engsoft.HttpSecurity],false,20,1,0,0,0,1,7,5,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,0,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/database/Mongo.java,br.ufmg.engsoft.reprova.database.Mongo,Mongo/1[java.lang.String],true,38,0,2,2,0,1,3,4,0,0,1,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0,9,1,1,true
/src/2022-02/src/java/br/ufmg/engsoft/reprova/database/Mongo.java,br.ufmg.engsoft.reprova.database.Mongo,getCollection/1[java.lang.String],false,50,2,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
/src/2022-02/auth-microservice/src/main/java/br/ufmg/engsoft/controllers/AuthenticationController.java,br.ufmg.engsoft.controllers.AuthenticationController,"isTeacher/1[java.util.Map<java.lang.String,java.lang.String>]",false,27,3,1,0,1,1,2,3,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,false
/src/2022-02/auth-microservice/src/main/java/br/ufmg/engsoft/controllers/AuthenticationController.java,br.ufmg.engsoft.controllers.AuthenticationController,AuthenticationController/0,true,17,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/src/2022-02/auth-microservice/src/main/java/br/ufmg/engsoft/controllers/AuthenticationController.java,br.ufmg.engsoft.controllers.AuthenticationController,"login/1[java.util.Map<java.lang.String,java.lang.String>]",false,22,3,1,0,1,1,2,3,1,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course$Reference,Reference/1[int],true,23,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course$Reference,(initializer 1),false,31,1,1,0,1,2,2,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,8,0,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course$Reference,fromInt/1[int],false,39,1,7,7,0,2,2,5,1,1,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,12,9,0,true
/src/2022-02/src/java/br/ufmg/engsoft/reprova/routes/command/CreateOrUpdateQuestionCommand.java,br.ufmg.engsoft.reprova.routes.command.CreateOrUpdateQuestionCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",false,26,7,5,0,5,4,11,26,3,4,2,11,0,0,0,0,1,0,8,4,4,3,1,0,0,0,18,1,6,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/routes/command/CreateOrUpdateQuestionCommand.java,br.ufmg.engsoft.reprova.routes.command.CreateOrUpdateQuestionCommand,"CreateOrUpdateQuestionCommand/2[br.ufmg.engsoft.reprova.database.QuestionsDAO,br.ufmg.engsoft.reprova.mime.json.Json]",true,20,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,false
/src/2022-02/auth-microservice/src/main/java/br/ufmg/engsoft/services/AuthService.java,br.ufmg.engsoft.services.AuthService,isTeacher/1[java.lang.String],false,32,1,2,1,1,1,3,5,1,1,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,false
/src/2022-02/auth-microservice/src/main/java/br/ufmg/engsoft/services/AuthService.java,br.ufmg.engsoft.services.AuthService,AuthService/0,true,17,1,2,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/src/2022-02/auth-microservice/src/main/java/br/ufmg/engsoft/services/AuthService.java,br.ufmg.engsoft.services.AuthService,"authenticate/2[java.lang.String,java.lang.String]",false,21,3,3,1,2,2,5,7,1,2,2,5,0,0,0,1,0,0,2,2,2,0,1,0,0,0,7,1,0,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json,"parse/2[java.lang.String,java.lang.Class<T>]",false,125,1,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
/src/2022-02/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json,render/1[T],false,133,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
